Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,237
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,117
Erbil Governorate,349
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,132
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,120
Saladin Governorate,≤100
Sulaymaniyah Governorate,463
Unknown,≤100
Wasit Governorate,≤100
