Location name,Amount spent (CZK)
Central Bohemian Region,15106
Hradec Králové Region,6695
Karlovy Vary Region,3346
Liberec Region,5633
Moravian-Silesian Region,15445
Olomouc Region,15904
Pardubice Region,5829
Plzeň Region,7179
Prague,40574
South Bohemian Region,7161
South Moravian Region,20212
Unknown,≤100
Vysočina Region,5745
Zlín Region,6963
Ústí nad Labem Region,9697
