Location name,Amount spent (ISK)
Capital Region,50204
Eastern Region,2818
Northeastern Region,7865
Northwestern Region,1416
Southern Peninsula,5520
Southern Region,6035
Unknown,≤100
Western Region,1604
Westfjords,1701
