Location name,Amount spent (COP)
Amazonas,2338
Antioquia,1968234
Arauca,31451
Atlantico,450698
Bolivar,257426
Boyaca,156966
Caldas,318605
Caqueta,64676
Casanare,39665
Cauca,304460
Cesar,123006
Choco,40854
Cordoba,197956
Cundinamarca,380930
Distrito Especial,6766351
Guainia,1644
Guaviare,6553
Huila,273829
La Guajira,62312
Magdalena,157953
Meta,181531
Narino,183607
Norte de Santander,187996
Putumayo,37009
Quindio,178605
Risaralda,536845
San Andres y Providencia,8508
Santander,230113
Sucre,93129
Tolima,175581
Unknown,≤100
Valle del Cauca,3398454
Vaupes,784
Vichada,792
