Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,743
Bicol Region,5899
Cagayan Valley,4037
Calabarzon,21381
Caraga,2035
Central Luzon,13824
Central Visayas,11041
Cordillera Administrative Region,1612
Davao Region,4214
Eastern Visayas,3674
Ilocos Region,4824
Metro Manila,29251
Mimaropa,8910
Northern Mindanao,6890
Soccsksargen,2991
Unknown,≤100
Western Visayas,9281
Zamboanga Peninsula,3286
