Location name,Amount spent (ARS)
Buenos Aires,906917
Catamarca,18835
Chaco,91831
Chubut,215019
Ciudad Autónoma de Buenos Aires,215003
Corrientes,21216
Córdoba,1006266
Entre Rios,45137
Formosa,13930
Jujuy,13006
La Pampa,72349
La Rioja,18664
Mendoza,27784
Misiones,23262
Neuquén,70318
Río Negro,31166
Salta,47349
San Juan,75264
San Luis,44176
Santa Cruz,9349
Santa Fe,180729
Santiago del Estero,15529
Tierra del Fuego,33050
Tucuman,33751
Unknown,≤100
