Location name,Amount spent (EUR)
Alsace,1139
Aquitaine,1838
Auvergne,655
Basse-Normandie,748
Bourgogne,822
Bretagne,1589
Centre,1219
Champagne-Ardenne,627
Corse,224
Franche-Comté,533
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,856
Languedoc-Roussillon,1782
Limousin,362
Lorraine,1183
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1632
New Caledonia,≤100
Nord-Pas-de-Calais,1941
Pays de la Loire,1716
Picardie,868
Poitou-Charentes,859
Provence-Alpes-Côte d'Azur,3402
Reunion Island,277
Rhône-Alpes,3743
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7417
