Location name,Amount spent (IDR)
Aceh,612697
Bali,1293340
Bangka–Belitung Islands,257047
Banten,1406435
Bengkulu,553302
Central Java,7083589
Central Kalimantan,540319
Central Sulawesi,653515
East Java,12470438
East Kalimantan,1351695
East Nusa Tenggara,1701806
Gorontalo,322061
Jakarta,3025122
Jambi,603679
Lampung,1356335
Maluku,402775
North Kalimantan,202639
North Maluku,311881
North Sulawesi,1038898
North Sumatra,2364934
Papua (province),597288
Riau,997603
Riau Islands Province,529013
South Kalimantan,857857
South Sulawesi,2041191
South Sumatra,1321115
Southeast Sulawesi,444481
Special Region of Yogyakarta,1294554
Unknown,1013
West Java,6791964
West Kalimantan,1144301
West Nusa Tenggara,986350
West Papua,304508
West Sulawesi,264796
West Sumatra,847612
