Location name,Amount spent (NIO)
Boaco Department,≤100
Carazo Department,≤100
Chinandega Department,111
Chontales Department,≤100
Estelí Department,145
Granada Department,≤100
Jinotega Department,≤100
León Department,148
Madriz Department,≤100
Managua Department,971
Masaya Department,123
Matagalpa Department,121
Nueva Segovia Department,≤100
Región Autónoma del Atlántico Norte,≤100
Región Autónoma del Atlántico Sur,≤100
Rivas Department,≤100
Río San Juan Department,≤100
Unknown,≤100
