Location name,Amount spent (HUF)
Baranya County,156153
Borsod-Abaúj-Zemplén County,224440
Budapest,979979
Bács-Kiskun County,198524
Békés County,130068
Csongrád County,178639
Fejér County,194765
Győr-Moson-Sopron County,209083
Hajdú-Bihar County,208443
Heves County,112229
Jász-Nagykun-Szolnok County,140526
Komárom-Esztergom County,129732
Nógrád County,66877
Pest County,500963
Somogy County,109952
Szabolcs-Szatmár-Bereg County,180559
Tolna County,89459
Unknown,≤100
Vas County,116298
Veszprém County,136525
Zala County,118842
