Location name,Amount spent (CAD)
Alberta,12181
British Columbia,19334
Manitoba,3131
New Brunswick,1996
Newfoundland and Labrador,1084
Northwest Territories,166
Nova Scotia,1914
Nunavut,195
Ontario,28912
Prince Edward Island,419
Quebec,17178
Saskatchewan,2020
Unknown,≤100
Yukon,265
