Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,3952,2
1727289200726711,Search for Common Ground Kenya,Dominick Mwambui,1408,2
1793544260969494,Hon. Cecily Mbarire MGH,Hon. Cecily Mbarire MGH,861,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,855,2
101821255334402,HON. Machua Waithaka Kiambu MP,Tevin Muiruri,168,1
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,162,1
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,160,1
113021098341496,shireenmotara_coach,These ads ran without a disclaimer,≤100,1
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,3
107725671976672,Willis Evans Otieno,Willis Evans Otieno K'Ochieng,≤100,1
412238482219683,Kambaland,Kambaland,≤100,1
102552429455951,C301-41,These ads ran without a disclaimer,≤100,1
109234018766722,Arkad-03,These ads ran without a disclaimer,≤100,1
112736661782449,Z-64-pro,These ads ran without a disclaimer,≤100,1
233022620980830,Ebrahim Sheik,These ads ran without a disclaimer,≤100,1
1575158776116245,Naija Inequality News,These ads ran without a disclaimer,≤100,1
393412505386,Offshore Technology Conference (OTC),These ads ran without a disclaimer,≤100,1
525421700832365,Protectors of The Wood Adventure Series,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
101616782888805,Travel Away,These ads ran without a disclaimer,≤100,1
100976946045172,Education Botswana Journal,These ads ran without a disclaimer,≤100,1
