Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,124
Apurímac Region,≤100
Arequipa Region,124
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,136
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,≤100
La Libertad Region,168
Lambayeque Region,137
Lima Region,2614
Loreto Region,114
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,152
Puno Region,106
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
