Location name,Amount spent (AOA)
Bengo Province,≤100
Benguela Province,4174
Bié Province,834
Cabinda Province,1672
Cuando Cubango Province,169
Cuanza Norte Province,833
Cuanza Sul Province,526
Cunene Province,≤100
Huambo Province,2341
Huíla Province,1723
Luanda Province,52694
Lunda Norte Province,359
Lunda Sul Province,577
Malanje Province,833
Moxico Province,334
Namibe Province,833
Unknown,≤100
Uíge Province,611
Zaire Province,≤100
