Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
341721517096411,Radio Asamblea Nacional,an advertiser in Venezuela,73239939,5
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,37250000,17
100426612940178,Concejo Municipal de San Diego,an advertiser in Venezuela,30000000,2
114588254559934,Concejo Municipal de San Francisco,an advertiser in Venezuela,29500000,2
1387178681545505,Concejo Municipal de Junin,an advertiser in Venezuela,29000000,2
108236238428619,Concejo Municipal de Maracaibo,an advertiser in Venezuela,14750000,1
148231808588187,Gatorade Venezuela,an advertiser in Venezuela,13250000,2
100112745687674,Creemos Alianza Ciudadana,an advertiser in Venezuela,6500000,4
163488480387610,Ingeniería Digital C.A.,an advertiser in Venezuela,2500000,4
249715249055539,Leonardo Trechi,These ads ran without a disclaimer,1500000,1
137784086302022,El Venezolano de Panamá,These ads ran without a disclaimer,1500000,1
117311267063459,Postgrados Universidad Metropolitana,an advertiser in Venezuela,750000,2
102909028767557,Nabil Maalouf,an advertiser in Venezuela,750000,2
333721726763601,Darwin Gonzalez,an advertiser in Venezuela,750000,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,530025,3
102901055579612,Alcaldia Alberto Adriani,an advertiser in Venezuela,237500,1
100872028348846,jalilfraxe__,These ads ran without a disclaimer,47813,1
270082823183144,Canton Fair,These ads ran without a disclaimer,32500,1
28774099229,British Council Venezuela,These ads ran without a disclaimer,10530,3
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,189,1
111912265149886,BeAnimals,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
564933036962750,MusicPromoToday,These ads ran without a disclaimer,≤100,1
2071382303094374,DUKE,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
