Location name,Amount spent (JPY)
Aichi Prefecture,10381
Akita Prefecture,1149
Aomori Prefecture,1409
Chiba Prefecture,6924
Ehime Prefecture,1539
Fukui Prefecture,1036
Fukuoka Prefecture,34953
Fukushima Prefecture,2691
Gifu Prefecture,2740
Gunma Prefecture,2192
Hiroshima Prefecture,4709
Hokkaido,6142
Hyōgo Prefecture,10869
Ibaraki Prefecture,3589
Ishikawa Prefecture,1338
Iwate Prefecture,996
Kagawa Prefecture,1373
Kagoshima Prefecture,1647
Kanagawa Prefecture,14890
Kumamoto Prefecture,5773
Kyoto Prefecture,4608
Kōchi Prefecture,698
Mie Prefecture,2262
Miyagi Prefecture,7775
Miyazaki Prefecture,1142
Nagano Prefecture,2727
Nagasaki Prefecture,3209
Nara Prefecture,1685
Niigata Prefecture,1992
Okayama Prefecture,1895
Okinawa Prefecture,3503
Osaka Prefecture,13681
Saga Prefecture,2709
Saitama Prefecture,8164
Shiga Prefecture,2340
Shimane Prefecture,701
Shizuoka Prefecture,4568
Tochigi Prefecture,2107
Tokushima Prefecture,1256
Tokyo,30755
Tottori Prefecture,718
Toyama Prefecture,1157
Unknown,≤100
Wakayama Prefecture,1015
Yamagata Prefecture,1810
Yamaguchi Prefecture,1497
Yamanashi Prefecture,961
Ōita Prefecture,2478
