Location name,Amount spent (PLN)
Greater Poland Voivodeship,4278
Kuyavian-Pomeranian Voivodeship,2618
Lesser Poland Voivodeship,5442
Lower Silesian Voivodeship,3641
Lublin Voivodeship,1993
Lubusz Voivodeship,889
Masovian Voivodeship,9476
Opole Voivodeship,769
Podkarpackie Voivodeship,1541
Podlaskie Voivodeship,3414
Pomeranian Voivodeship,3388
Silesian Voivodeship,4383
Unknown,≤100
Warmian-Masurian Voivodeship,1345
West Pomeranian Voivodeship,2002
Łódź Voivodeship,3002
Świętokrzyskie Voivodeship,986
