Location name,Amount spent (EGP)
Al Sharqia Governorate,2130
Alexandria Governorate,3093
Aswan Governorate,385
Asyut Governorate,836
Beheira Governorate,1385
Beni Suef Governorate,527
Cairo Governorate,5633
Dakahlia Governorate,2444
Damietta Governorate,674
Faiyum Governorate,532
Gharbia Governorate,2004
Giza Governorate,1773
Ismailia Governorate,460
Kafr el-Sheikh Governorate,1205
Luxor Governorate,249
Matrouh Governorate,≤100
Minya Governorate,889
Monufia Governorate,1228
New Valley Governorate,≤100
North Sinai Governorate,169
Port Said Governorate,395
Qalyubia Governorate,1360
Qena Governorate,616
Red Sea Governorate,201
Sohag Governorate,1084
South Sinai Governorate,≤100
Suez Governorate,341
Unknown,≤100
