Location name,Amount spent (PKR)
Azad Kashmir,888
Balochistan,1285
Federally Administered Tribal Areas,217
Gilgit-Baltistan,427
Islamabad Capital Territory,1755
Khyber Pakhtunkhwa,5771
Punjab,33638
Sindh,8685
Unknown,≤100
