Location name,Amount spent (BRL)
Acre (state),1251
Alagoas,2456
Amapá,517
Amazonas,3581
Bahia,10932
Ceará,7921
Espírito Santo,4427
Federal District,3254
Goiás,5841
Maranhão,6825
Mato Grosso,5353
Mato Grosso do Sul,3862
Minas Gerais,22543
Paraná,12559
Paraíba,4487
Pará,8578
Pernambuco,9728
Piauí,2465
Rio Grande do Norte,3830
Rio Grande do Sul,9555
Rio de Janeiro (state),13574
Rondônia,1750
Roraima,632
Santa Catarina,9225
Sergipe,1831
São Paulo (state),43653
Tocantins,1332
Unknown,≤100
