Location name,Amount spent (MYR)
Johor,565
Kedah,305
Kelantan,179
Kuala Lumpur,639
Labuan,≤100
Malacca,174
Negeri Sembilan,431
Pahang,182
Penang,294
Perak,354
Perlis,≤100
Putrajaya,≤100
Sabah,393
Sarawak,335
Selangor,2068
Terengganu,203
Unknown,≤100
