Location name,Amount spent (RON)
Alba County,429
Arad County,691
Argeș County,915
Bacău County,705
Bihor County,625
Bistrița-Năsăud County,350
Botoșani County,566
Brașov County,852
Brăila County,378
Bucharest,3761
Buzău County,474
Caraș-Severin County,332
Cluj County,1170
Constanța County,1102
Covasna County,221
Călărași County,244
Dolj County,763
Dâmbovița County,486
Galați County,659
Giurgiu County,212
Gorj County,454
Harghita County,379
Hunedoara County,637
Ialomița County,218
Iași County,1520
Ilfov County,664
Maramureș County,596
Mehedinți County,345
Mureș County,665
Neamț County,787
Olt County,306
Prahova County,1000
Satu Mare County,371
Sibiu County,529
Suceava County,644
Sălaj County,215
Teleorman County,318
Timiș County,1203
Tulcea County,292
Unknown,≤100
Vaslui County,387
Vrancea County,305
Vâlcea County,680
