Location name,Amount spent (NOK)
Akershus,5695
Aust-Agder,726
Buskerud,1920
Finnmark,592
Hedmark,1191
Hordaland,4121
Møre og Romsdal,7574
Nord-Trøndelag,884
Nordland,1548
Oppland,1133
Oslo,8643
Rogaland,3364
Sogn og Fjordane,745
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,2423
Telemark,1199
Troms,1149
Unknown,≤100
Vest-Agder,1710
Vestfold,1689
Østfold,2056
