Location name,Amount spent (CHF)
Aargau,211
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,171
Basel-Landschaft,≤100
Bern,311
Canton of Geneva,305
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,155
Fribourg,197
Graubünden,≤100
Jura,≤100
Luzern,136
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,140
Unknown,≤100
Uri,≤100
Valais,177
Vaud,397
Zug,≤100
Zürich,927
