Location name,Amount spent (USD)
Alabama,15966
Alaska,3401
American Samoa,≤100
Arizona,31317
Arkansas,10189
California,138967
Colorado,28219
Connecticut,10448
Delaware,3681
Florida,85988
Georgia,34245
Guam,≤100
Hawaii,4982
Idaho,6995
Illinois,40632
Indiana,23648
Iowa,17928
Kansas,12527
Kentucky,18681
Louisiana,20340
Maine,5796
Maryland,24133
Massachusetts,22538
Michigan,38513
Minnesota,24617
Mississippi,18911
Missouri,22354
Montana,5190
Nebraska,7198
Nevada,16570
New Hampshire,6853
New Jersey,42678
New Mexico,7828
New York,66480
North Carolina,42491
North Dakota,2470
Northern Mariana Islands,≤100
Ohio,93651
Oklahoma,15027
Oregon,14015
Pennsylvania,54467
Puerto Rico,≤100
Rhode Island,4308
South Carolina,24426
South Dakota,2375
Tennessee,32006
Texas,109973
Unknown,148
Utah,10472
Vermont,1770
Virgin Islands (U.S.),≤100
Virginia,35443
Washington,28568
"Washington, District of Columbia",9559
West Virginia,7927
Wisconsin,21214
Wyoming,2191
