Location name,Amount spent (MXN)
Aguascalientes,5594
Baja California,16675
Baja California Sur,2349
Campeche,20533
Chiapas,11433
Chihuahua,14563
Coahuila de Zaragoza,63062
Colima,11019
Distrito Federal,164828
Durango,6833
Guanajuato,41021
Guerrero,8024
Hidalgo,6721
Jalisco,118652
Michoacán de Ocampo,17118
Morelos,6301
Nayarit,2599
Nuevo León,117736
Oaxaca,12284
Puebla,17412
Querétaro Arteaga,18881
Quintana Roo,7287
San Luis Potosi,16009
Sinaloa,9829
Sonora,18619
State of Mexico,141782
Tabasco,6510
Tamaulipas,27678
Tlaxcala,3607
Unknown,≤100
Veracruz,26521
Yucatán,11042
Zacatecas,3308
