Location name,Amount spent (SEK)
Blekinge County,4328
Dalarna County,8811
Gotland County,2038
Gävleborg County,9306
Halland County,8823
Jämtland County,4244
Jönköping County,10091
Kalmar County,6575
Kronoberg County,4973
Norrbotten County,7424
Skåne County,38426
Stockholm County,70146
Södermanland County,8558
Unknown,≤100
Uppsala County,12236
Värmland County,8105
Västerbotten County,8455
Västernorrland County,7246
Västmanland County,7783
Västra Götaland County,51043
Örebro County,9041
Östergötland County,12561
