Location name,Amount spent (INR)
Andaman and Nicobar Islands,140
Andhra Pradesh,39329
Arunachal Pradesh,1549
Assam,13159
Bihar,36290
Chandigarh,1497
Chhattisgarh,28257
Dadra and Nagar Haveli,798
Delhi,52808
Goa,2664
Gujarat,47560
Haryana,38238
Himachal Pradesh,9211
Jammu and Kashmir,7105
Jharkhand,15226
Karnataka,59199
Kerala,19706
Lakshadweep,≤100
Madhya Pradesh,59875
Maharashtra,128691
Manipur,120
Meghalaya,2584
Mizoram,1315
Nagaland,1207
Odisha,18890
Puducherry,3763
Punjab region,26118
Rajasthan,152272
Sikkim,839
Tamil Nadu,111376
Telangana,59978
Tripura,1699
Unknown,≤100
Uttar Pradesh,93757
Uttarakhand,9456
West Bengal,56291
