Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,747
Cerro Largo Department,360
Colonia Department,104
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,121
Montevideo Department,4700
Paysandú Department,118
Rivera Department,217
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,195
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
