Location name,Amount spent (IDR)
Aceh,873975
Bali,1698069
Bangka–Belitung Islands,444448
Banten,2596375
Bengkulu,760634
Central Java,20868469
Central Kalimantan,824143
Central Sulawesi,1012366
East Java,21624825
East Kalimantan,1811995
East Nusa Tenggara,1512076
Gorontalo,685295
Jakarta,12060739
Jambi,1063102
Lampung,2168031
Maluku,524759
North Kalimantan,379577
North Maluku,429881
North Sulawesi,1852116
North Sumatra,5854843
Papua (province),817214
Riau,2622513
Riau Islands Province,1053806
South Kalimantan,1353254
South Sulawesi,3739084
South Sumatra,2392502
Southeast Sulawesi,822373
Special Region of Yogyakarta,1316136
Unknown,16465
West Java,11832623
West Kalimantan,1557600
West Nusa Tenggara,1534206
West Papua,364431
West Sulawesi,457077
West Sumatra,1562982
