Location name,Amount spent (CAD)
Alberta,2748
British Columbia,7821
Manitoba,2033
New Brunswick,959
Newfoundland and Labrador,280
Northwest Territories,≤100
Nova Scotia,1097
Nunavut,≤100
Ontario,13354
Prince Edward Island,≤100
Quebec,7826
Saskatchewan,1317
Unknown,≤100
Yukon,123
