Location name,Amount spent (CAD)
Alberta,13812
British Columbia,17105
Manitoba,3276
New Brunswick,1838
Newfoundland and Labrador,1013
Northwest Territories,191
Nova Scotia,1585
Nunavut,159
Ontario,25717
Prince Edward Island,448
Quebec,20601
Saskatchewan,2080
Unknown,≤100
Yukon,184
