Location name,Amount spent (TWD)
Changhua,6362
Chiayi,1562
Hsinchu,3250
Hsinchu City,6175
Hualien,3161
Kaohsiung,21963
Keelung City,2789
Kinmen,397
Lienchiang,≤100
Miaoli,3248
Nantou,2477
New Taipei City,33826
Penghu,549
Pingtung,4284
Taichung,25601
Tainan,14028
Taipei,30103
Taitung,1742
Taoyuan City,21615
Unknown,2682
Yilan,2202
Yunlin,3665
