Location name,Amount spent (SEK)
Blekinge County,4325
Dalarna County,9693
Gotland County,2028
Gävleborg County,8610
Halland County,8852
Jämtland County,4556
Jönköping County,10121
Kalmar County,6403
Kronoberg County,6099
Norrbotten County,8030
Skåne County,37670
Stockholm County,72697
Södermanland County,8741
Unknown,≤100
Uppsala County,13943
Värmland County,8304
Västerbotten County,8511
Västernorrland County,7028
Västmanland County,8266
Västra Götaland County,49926
Örebro County,8949
Östergötland County,12824
