Location name,Amount spent (NOK)
Akershus,2554
Aust-Agder,432
Buskerud,1135
Finnmark,315
Hedmark,724
Hordaland,2302
Møre og Romsdal,1073
Nord-Trøndelag,466
Nordland,1132
Oppland,694
Oslo,5433
Rogaland,2010
Sogn og Fjordane,402
Sør-Trøndelag,1421
Telemark,623
Troms,880
Unknown,≤100
Vest-Agder,1070
Vestfold,1030
Østfold,1138
