Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,487
Bangkok,13907
Bueng Kan,≤100
Buriram,585
Chachoengsao,479
Chai Nat,≤100
Chaiyaphum,292
Chanthaburi,382
Chiang Mai,1461
Chiang Rai,298
Chon Buri,3252
Chumphon,623
Kalasin,195
Kamphaeng Phet,167
Kanchanaburi,372
Khon Kaen,398
Krabi,384
Lampang,415
Lamphun,163
Loei,149
Lop Buri,197
Mae Hong Son,481
Maha Sarakham,186
Mukdahan,104
Nakhon Nayok,≤100
Nakhon Pathom,769
Nakhon Phanom,128
Nakhon Ratchasima,2418
Nakhon Sawan,601
Nakhon Si Thammarat,2093
Nan,≤100
Narathiwat,231
Nong Bua Lam Phu,132
Nong Khai,131
Nonthaburi,540
Pathum Thani,506
Pattani,310
Phangnga,286
Phatthalung,395
Phayao,256
Phetchabun,190
Phetchaburi,367
Phichit,289
Phitsanulok,6143
Phrae,≤100
Phuket,3378
Prachin Buri,182
Prachuap Khiri Khan,467
Ranong,143
Ratchaburi,332
Rayong,308
Roi Et,285
Sa Kaeo,152
Sakon Nakhon,332
Samut Prakan,1272
Samut Sakhon,731
Samut Songkhram,496
Saraburi,246
Satun,199
Sing Buri,≤100
Sisaket,271
Songkhla,1873
Sukhothai,167
Suphan Buri,240
Surat Thani,7099
Surin,277
Tak,297
Trang,368
Trat,≤100
Ubon Ratchathani,456
Udon Thani,432
Unknown,≤100
Uthai Thani,≤100
Uttaradit,107
Yala Province,238
Yasothon,356
