Location name,Amount spent (USD)
Alabama,7609
Alaska,2074
American Samoa,≤100
Arizona,17424
Arkansas,4566
California,61317
Colorado,8154
Connecticut,5455
Delaware,1544
Florida,39564
Georgia,14540
Guam,≤100
Hawaii,1555
Idaho,5060
Illinois,28332
Indiana,14539
Iowa,4957
Kansas,5882
Kentucky,8184
Louisiana,7329
Maine,4804
Maryland,11174
Massachusetts,8971
Michigan,18238
Minnesota,16696
Mississippi,4848
Missouri,14450
Montana,2928
Nebraska,2790
Nevada,7781
New Hampshire,2176
New Jersey,13877
New Mexico,3496
New York,35873
North Carolina,16464
North Dakota,832
Northern Mariana Islands,≤100
Ohio,16525
Oklahoma,8367
Oregon,7550
Pennsylvania,26819
Puerto Rico,≤100
Rhode Island,1252
South Carolina,7783
South Dakota,1300
Tennessee,10334
Texas,44968
Unknown,≤100
Utah,4688
Vermont,1367
Virgin Islands (U.S.),≤100
Virginia,19516
Washington,11959
"Washington, District of Columbia",9837
West Virginia,3321
Wisconsin,15489
Wyoming,1068
