Location name,Amount spent (AUD)
Australian Capital Territory,1049
Jervis Bay Territory,≤100
New South Wales,46930
Norfolk Island,≤100
Northern Territory,423
Queensland,10719
South Australia,3332
Tasmania,1230
Unknown,≤100
Victoria,12301
Western Australia,5595
