Location name,Amount spent (RON)
Alba County,525
Arad County,654
Argeș County,934
Bacău County,1058
Bihor County,744
Bistrița-Năsăud County,489
Botoșani County,553
Brașov County,697
Brăila County,389
Bucharest,3215
Buzău County,473
Caraș-Severin County,382
Cluj County,999
Constanța County,935
Covasna County,335
Călărași County,257
Dolj County,878
Dâmbovița County,483
Galați County,1003
Giurgiu County,212
Gorj County,465
Harghita County,688
Hunedoara County,595
Ialomița County,234
Iași County,1198
Ilfov County,415
Maramureș County,713
Mehedinți County,317
Mureș County,949
Neamț County,722
Olt County,387
Prahova County,791
Satu Mare County,513
Sibiu County,549
Suceava County,868
Sălaj County,322
Teleorman County,338
Timiș County,921
Tulcea County,245
Unknown,≤100
Vaslui County,456
Vrancea County,439
Vâlcea County,455
