Location name,Amount spent (CAD)
Alberta,16718
British Columbia,15256
Manitoba,4324
New Brunswick,1633
Newfoundland and Labrador,1218
Northwest Territories,154
Nova Scotia,1997
Nunavut,≤100
Ontario,32351
Prince Edward Island,1448
Quebec,34178
Saskatchewan,3578
Unknown,≤100
Yukon,119
