Location name,Amount spent (NZD)
Auckland Region,4367
Bay of Plenty Region,782
Canterbury,1355
Cook Islands,≤100
Gisborne District,103
Hawke's Bay,359
Manawatu-Wanganui,588
Marlborough Region,≤100
Nelson Province,144
Niue,≤100
Northland Region,403
Otago,459
Southland,185
Taranaki,245
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,992
Wellington Region,1134
West Coast,≤100
