Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
109937650579639,discovery+,discovery+,113216,86
109470364774303,Ellorum Nammudan,Ellorum Nammudan,101555,148
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,69392,24
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),62718,75
21169267101,Give,Give,38541,29
1521106071438318,CMO Chhattisgarh,IVS Corporation,35168,2
479998865355592,Aditya Birla Group,Aditya Birla Group,32357,14
108543274952782,Stalinudan Tamil Nadu,Stalinudan Tamil Nadu,20044,36
109545244848137,Crafto,Kutumb App,18560,19
107395897271506,Kutumb,Swatantra Verma,17195,29
108777655527686,Trinamoole Nabo Jowar,Trinamoole Nabo Jowar,16579,56
791496597580042,Miracles Academy Of Arts & Media Pvt.Ltd.,Miracles Academy Of Arts & Media Pvt.Ltd.,16210,1
30290552843,Greenpeace India,Greenpeace Environment Trust,15559,35
248431212597208,MP बोले फिर भाजपा,MP बोले फिर भाजपा,14114,21
109779048752146,Maharashtra Building and Other Construction worker's welfare Board,OM Enterprises,12616,23
404746486258732,Project Nanhi Kali,Project Nanhi Kali,11246,9
108080828884036,Gehlot Phir Se,DesignBoxed,9546,13
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,9105,27
270666596375251,Jhatkaa.org,Jhatkaa.org,9081,18
278423842321236,BJP Rajasthan,Bharatiya Janata Party (BJP),8988,39
1293402667423924,Bhupesh Hai To Bharosa Hai,Bhupesh Hai To Bharosa Hai,8749,22
245708465537707,Bhupesh Baghel,Bhupesh Baghel,8650,3
797927846899300,Flag Foundation of India,Flag Foundation of India,7950,8
109354741887336,Youth For Udhay Anna,Youth For Udhay Anna,7093,16
103036987747307,Congress Sarkar Bharosa Barkarar,Congress Sarkar Bharosa Barkarar,7070,9
114233898263244,Indian Compass Videos,theindiancompass.com,6035,212
102177112507392,Aapanna Hastham,Aapannahastham,6027,11
103782051383159,School of Politics,School of Politics,5925,15
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,5850,9
