Location name,Amount spent (PLN)
Greater Poland Voivodeship,2894
Kuyavian-Pomeranian Voivodeship,1753
Lesser Poland Voivodeship,3910
Lower Silesian Voivodeship,5498
Lublin Voivodeship,1134
Lubusz Voivodeship,1155
Masovian Voivodeship,5777
Opole Voivodeship,825
Podkarpackie Voivodeship,1762
Podlaskie Voivodeship,602
Pomeranian Voivodeship,1954
Silesian Voivodeship,3958
Unknown,≤100
Warmian-Masurian Voivodeship,959
West Pomeranian Voivodeship,1586
Łódź Voivodeship,1944
Świętokrzyskie Voivodeship,971
