Location name,Amount spent (MYR)
Johor,1137
Kedah,3941
Kelantan,2005
Kuala Lumpur,2885
Labuan,≤100
Malacca,634
Negeri Sembilan,3842
Pahang,455
Penang,3124
Perak,1446
Perlis,139
Putrajaya,204
Sabah,520
Sarawak,562
Selangor,18176
Terengganu,1651
Unknown,≤100
