Location name,Amount spent (IDR)
Aceh,566354
Bali,1266845
Bangka–Belitung Islands,236911
Banten,1697351
Bengkulu,323644
Central Java,4661713
Central Kalimantan,445120
Central Sulawesi,570766
East Java,5152282
East Kalimantan,1199759
East Nusa Tenggara,754056
Gorontalo,304688
Jakarta,3438794
Jambi,497706
Lampung,1132738
Maluku,226804
North Kalimantan,123781
North Maluku,180827
North Sulawesi,1211204
North Sumatra,3205631
Papua (province),361665
Riau,1398637
Riau Islands Province,477965
South Kalimantan,480334
South Sulawesi,1412352
South Sumatra,1490567
Southeast Sulawesi,432912
Special Region of Yogyakarta,766083
Unknown,2881
West Java,5808666
West Kalimantan,999286
West Nusa Tenggara,884805
West Papua,152868
West Sulawesi,176305
West Sumatra,652089
