Location name,Amount spent (ZAR)
Eastern Cape,990
Free State,1024
Gauteng,3994
KwaZulu-Natal,1316
Limpopo,372
Mpumalanga,776
North West,344
Northern Cape,314
Unknown,≤100
Western Cape,8452
