Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,Instance Supérieure Indépendante pour les Élections - ISIE,3400,23
101416266129939,ياسين مامي - Yassine Mami,Hammamet Informatique Services,123,11
103583695424358,Hatem Houaoui,Hatem Houaoui,117,1
107992048668739,قهواجي الداخلية,These ads ran without a disclaimer,≤100,1
109648084665010,انور الطعلوش الصفحة الرسمية,Kiwi Softwares,≤100,2
100251839372041,إستفتاء,These ads ran without a disclaimer,≤100,1
114268830265488,Politiket,These ads ran without a disclaimer,≤100,1
593755684372483,الجمعية التونسية للأيمة,These ads ran without a disclaimer,≤100,1
860574404093479,TRT World Citizen,These ads ran without a disclaimer,≤100,2
100287395944901,salam.ghannam94,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
108664601395259,وطـن - Watan Tv,These ads ran without a disclaimer,≤100,1
11949538375,chinadialogue,These ads ran without a disclaimer,≤100,1
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,1
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
100243795717898,lailoffiziall,These ads ran without a disclaimer,≤100,1
