Location name,Amount spent (IDR)
Aceh,1218228
Bali,3018955
Bangka–Belitung Islands,702058
Banten,3562483
Bengkulu,1307217
Central Java,13310351
Central Kalimantan,1207374
Central Sulawesi,1714876
East Java,13029930
East Kalimantan,2181014
East Nusa Tenggara,2546967
Gorontalo,974667
Jakarta,21706853
Jambi,1650636
Lampung,2927045
Maluku,913492
North Kalimantan,557133
North Maluku,737150
North Sulawesi,2892769
North Sumatra,6089666
Papua (province),1116510
Riau,3076656
Riau Islands Province,1515174
South Kalimantan,1338109
South Sulawesi,5795720
South Sumatra,3781870
Southeast Sulawesi,1363679
Special Region of Yogyakarta,1507761
Unknown,36303
West Java,16797109
West Kalimantan,2195198
West Nusa Tenggara,2409636
West Papua,593179
West Sulawesi,730173
West Sumatra,2014323
