Location name,Amount spent (TRY)
Adana Province,1890
Adıyaman Province,≤100
Afyonkarahisar Province,210
Aksaray Province,310
Amasya Province,≤100
Ankara Province,2694
Antalya Province,3009
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,310
Ağrı Province,≤100
Balıkesir Province,319
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,704
Denizli Province,730
Diyarbakır Province,146
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,295
Gaziantep Province,232
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,325
Isparta Province,≤100
Istanbul Province,5317
Iğdır Province,≤100
Kahramanmaraş Province,125
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,212
Kilis Province,≤100
Kocaeli Province,495
Konya Province,603
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,501
Mardin Province,≤100
Mersin Province,481
Muğla Province,307
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,122
Osmaniye Province,≤100
Rize Province,199
Sakarya Province,≤100
Samsun Province,332
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,101
Tekirdağ Province,187
Tokat Province,≤100
Trabzon Province,188
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,4807
Çanakkale Province,249
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1217
Şanlıurfa Province,152
Şırnak Province,≤100
