Location name,Amount spent (EUR)
Alsace,523
Aquitaine,996
Auvergne,287
Basse-Normandie,363
Bourgogne,400
Bretagne,834
Centre,550
Champagne-Ardenne,297
Corse,148
Franche-Comté,250
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,529
Languedoc-Roussillon,861
Limousin,166
Lorraine,583
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,802
New Caledonia,≤100
Nord-Pas-de-Calais,941
Pays de la Loire,835
Picardie,487
Poitou-Charentes,437
Provence-Alpes-Côte d'Azur,1686
Reunion Island,≤100
Rhône-Alpes,1778
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3214
