Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,931,33
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,244,14
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,216,12
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,185,9
113035494739725,Simon Vlk,Simon Vlk,151,1
109469528675603,Philipp Egger,Philipp Egger,136,19
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,120,9
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,≤100,7
131066326987,SP Kanton Zürich,SP Kanton Zürich,≤100,2
108392832120312,Perspektive Zürich,Perspektive Zürich,≤100,6
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,≤100,10
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,≤100,4
1604136306538918,Marc Wachter,Marc Michel Wachter,≤100,4
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100,13
103082059271118,SP Bezirk Hinwil,SP Wetzikon,≤100,12
106254955524910,SVP Binningen,SVP Binningen,≤100,3
97220294896,SP Schweiz,SP Schweiz,≤100,1
260591187302640,Parti socialiste genevois,Parti socialiste genevois,≤100,6
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100,21
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,≤100,4
610098352377102,Christian Pfaller,Komitee Christian Pfaller,≤100,36
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,≤100,16
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,≤100,4
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,≤100,2
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,≤100,1
169510248558,Die Mitte - Le Centre,Die Mitte,≤100,6
110409811924321,Urs Christian Eugster FDP,Urs Christian Eugster,≤100,1
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100,2
102014399307738,Direkt,direkt,≤100,2
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,≤100,1
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,≤100,8
231086633606227,SVP Baselland,SVP Baselland,≤100,145
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,≤100,2
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,≤100,1
105221044343308,Baisse d'impôts pour tous,"Initiative ""Baisse d'impôts pour tous : redonner du pouvoir d'achat à la classe moyenne.""",≤100,1
111516028427691,Die Mitte Oberes Baselbiet,Die Mitte Oberes Baselbiet,≤100,1
102408406000910,Bürgerliche Allianz,Berchtold Marketing GmbH,≤100,1
105380182425137,Michael Jäger,Hans Michael Jäger,≤100,2
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,14
101012679501703,Stephan Siegel in den Landrat,Stephan Siegel in den Landrat,≤100,2
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100,3
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100,4
113814477835,Piratenpartei Schweiz,Piratenpartei Schweiz,≤100,1
100345702834585,All Out Deutschland,All Out,≤100,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,1
1439209716323593,UDC Ticino,UDC Ticino,≤100,1
107717738487757,Viviane Kägi GLP,Viviane Kägi,≤100,1
619051955163582,AWOB - Adrian Wegmann Oberrieden,Adrian Wegmann,≤100,2
488909884546537,GLP Winterthur Land,GLP Winterthur Land,≤100,1
109213507316253,SP Zürich 11,SP Zürich,≤100,2
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,35
107515328348195,Michael Uebersax,Michael Stefan Uebersax,≤100,2
100505278746845,Gesunde Finanzen,Organisation für gesunde Gemeindefinanzen,≤100,1
377292365618914,SVP Stadt Winterthur,SVP Winterthur,≤100,1
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,≤100,2
290247291672533,SIT - Syndicat interprofessionnel de travailleuses et travailleurs,SIT - Syndicat interprofessionnel de travailleuses et travailleurs,≤100,1
106615082184530,Raffael Grütter - GLP,Raffael Grütter,≤100,4
1613404075547204,Kathrin Schweizer,Komitee «Thomas Noack und Kathrin Schweizer in den Regierungsrat»,≤100,1
131136176944674,FDP.Die Liberalen Bezirk Pfäffikon,FDP.Die Liberalen Bezirk Pfäffikon,≤100,1
169042736456594,All Out,All Out,≤100,2
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100,1
591968957877984,Andrea Isler,Andrea Lara Isler,≤100,2
104755129093222,Vox Natio,Tobias Hauser,≤100,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,1
1063313707075005,Les Vert-e-s Jura,Les Vert.es Jura,≤100,1
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,≤100,1
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,≤100,3
190285574861316,Grüne Uster,Grüne Bezirk Uster,≤100,1
120204928045279,SP Wetzikon,SP Wetzikon,≤100,1
100432824661437,Bettina Balmer FDP,Bettina Balmer,≤100,1
122276294503722,Viessmann Sport,These ads ran without a disclaimer,≤100,1
230522120377463,FDP Allschwil-Schönenbuch,FDP Allschwil-Schönenbuch,≤100,2
