Location name,Amount spent (EGP)
Al Sharqia Governorate,2887
Alexandria Governorate,1548
Aswan Governorate,322
Asyut Governorate,600
Beheira Governorate,971
Beni Suef Governorate,540
Cairo Governorate,4534
Dakahlia Governorate,1930
Damietta Governorate,581
Faiyum Governorate,1075
Gharbia Governorate,1884
Giza Governorate,1448
Ismailia Governorate,627
Kafr el-Sheikh Governorate,860
Luxor Governorate,233
Matrouh Governorate,230
Minya Governorate,936
Monufia Governorate,1047
New Valley Governorate,≤100
North Sinai Governorate,187
Port Said Governorate,498
Qalyubia Governorate,1386
Qena Governorate,522
Red Sea Governorate,172
Sohag Governorate,718
South Sinai Governorate,≤100
Suez Governorate,201
Unknown,≤100
