Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,26370664,9
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,8069138,9
101350709331663,G24 News TV,Yayasan Golkar Institut SPKP,7224377,177
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,3572069,9
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,2966408,16
102793242742002,Jaksapedia,JAKSAPEDIA,2908400,34
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,2084200,19
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,2011562,5
102656349157647,Tugimanisme,Tugimanisme,1350914,46
197545083607941,Harian Kompas,Harian Kompas,1321365,26
104830667806476,Melihat Indonesia,Melihat Indonesia,1260519,36
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,834441,25
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,769917,34
173776079818775,Saiful Mujani,Saidiman,661632,5
292780334633,International Christian Embassy Jerusalem (ICEJ),These ads ran without a disclaimer,640547,1
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,595671,6
367381239359,Abah Qomar - Nurul Qomar,Abah Qomar - Nurul Qomar,578193,11
104427162506872,Fakta Anies,Fakta Anies,577985,38
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,569743,8
106524371346347,NTBSATU.com,NTBSATU.com,559348,16
111864151754055,Esensi TV,Esensi Tv,507575,6
1500140530273695,Kimia Farma Care,Kimia Farma,503036,1
1419236281714929,Andrei Angouw,Andrei Angouw,421760,5
107600565668590,,Yayasan Golkar Institute,414065,9
101674375744514,Media Cuan,Ipta Apipah,408045,18
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,392535,2
212811572075740,Pemerintah Kota Malang,Ayu Fitria Mandarasari,377522,4
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,364930,13
1547369918837496,Zulkifli Hasan,Media Center PAN,309465,1
105903795626960,Ruangcuan.com,Ruangcuan.com,294821,2
292939164731691,Relawan Herviano,Relawan Herviano,273201,14
312490859193724,mensbatik,Bayu Setayudha,246938,11
111276281823840,,Growth Lab,245172,1
105903795626960,Ruangcuan.com,These ads ran without a disclaimer,245171,5
1690573611256871,Pemerintah Kota Manado,Pemerintah Kota Manado,231362,2
882638978454921,Raja Juli Antoni,Raja Juli Antoni,219154,2
173996829810061,Ryan F. Kono,"Ryan Fahrichsan Kono, B.Com",211986,3
118734481202493,Prihati Utami,Septian Raharjo,209994,11
1419236281714929,Andrei Angouw,Bryan Sumilat,196791,3
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,192074,22
1766105710290235,Dr. Andreas Hugo Pareira,Dr. Andreas Hugo Pareira,190605,2
731046070564929,Informasi dan Komunikasi PMK,Satwiko Vito Waris,187218,2
101355948222111,Golkar Indonesia,Golkar Indonesia,176035,4
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,164150,16
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,162583,4
103974322620939,Kominfo Trenggalek,Anggianto,148997,4
110314634068233,Fadilah Bisnis,Fadilah Bisnis,143963,4
1160674184085116,"I G N Kesuma Kelakan,ST.,M.Si",Ign Kesuma Kelakan,143650,2
582402568517453,Coretan Kehidupan,Coretan Kehidupan,128910,3
379553355510209,"Juprizal,S.Th.I,MH Calon DPD","Juprizal,S.Th.I,MH Calon DPD",123287,1
111952487159435,Websdigitalpro.com,websdigitalpro.com,122487,9
106369021821580,Partai Buruh,Partai Buruh,116954,3
112858967105481,Kang Yudi Lasmi,Yudi Nugraha,115227,1
102273039070802,Info Terkini,Muhammad Miftakhunnaim,110788,10
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,107486,3
1854187061497992,Jogja Dukung Ganjar,Ganjar Nusantara Indonesia,104346,1
108511588277325,Galeria Konveksi,Solehudin,100282,2
100284269736120,Suci Amalia,Suci Amalia,100000,10
115139881566445,Gerald Milhan Nahuway,Gerald Milhan Nahuway,100000,4
582402568517453,Coretan Kehidupan,Haekal Nafis,99375,2
720303975448251,Banyumasan Ngapak,Berita Kota,99037,1
101866128977837,Belajar Pemilu,Muhammad Basir,98616,1
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,98321,8
112781185146850,,Imam Ansyori Nasution,93271,1
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,91183,8
