Location name,Amount spent (TWD)
Changhua,8894
Chiayi,1891
Hsinchu,3548
Hsinchu City,6173
Hualien,3137
Kaohsiung,22922
Keelung City,3142
Kinmen,435
Lienchiang,≤100
Miaoli,3564
Nantou,4368
New Taipei City,40355
Penghu,497
Pingtung,4675
Taichung,29867
Tainan,16467
Taipei,31570
Taitung,1827
Taoyuan City,26777
Unknown,3420
Yilan,2685
Yunlin,5594
