Location name,Amount spent (PKR)
Azad Kashmir,1227
Balochistan,1162
Federally Administered Tribal Areas,305
Gilgit-Baltistan,617
Islamabad Capital Territory,2363
Khyber Pakhtunkhwa,7982
Punjab,42822
Sindh,10523
Unknown,≤100
