Location name,Amount spent (THB)
Amnat Charoen,282
Ang Thong,388
Ayutthaya,1303
Bangkok,30342
Bueng Kan,258
Buriram,1182
Chachoengsao,875
Chai Nat,228
Chaiyaphum,674
Chanthaburi,716
Chiang Mai,2044
Chiang Rai,801
Chon Buri,3869
Chumphon,606
Kalasin,654
Kamphaeng Phet,775
Kanchanaburi,1241
Khon Kaen,1778
Krabi,617
Lampang,883
Lamphun,489
Loei,520
Lop Buri,787
Mae Hong Son,215
Maha Sarakham,842
Mukdahan,347
Nakhon Nayok,326
Nakhon Pathom,1129
Nakhon Phanom,573
Nakhon Ratchasima,2952
Nakhon Sawan,1363
Nakhon Si Thammarat,1453
Nan,327
Narathiwat,583
Nong Bua Lam Phu,300
Nong Khai,491
Nonthaburi,2390
Pathum Thani,1662
Pattani,729
Phangnga,394
Phatthalung,546
Phayao,456
Phetchabun,698
Phetchaburi,568
Phichit,348
Phitsanulok,1542
Phrae,349
Phuket,1387
Prachin Buri,943
Prachuap Khiri Khan,699
Ranong,202
Ratchaburi,1209
Rayong,1842
Roi Et,963
Sa Kaeo,270
Sakon Nakhon,910
Samut Prakan,1109
Samut Sakhon,1128
Samut Songkhram,199
Saraburi,1082
Satun,361
Sing Buri,318
Sisaket,1019
Songkhla,4136
Sukhothai,493
Suphan Buri,932
Surat Thani,2468
Surin,1064
Tak,474
Trang,584
Trat,299
Ubon Ratchathani,1656
Udon Thani,1567
Unknown,≤100
Uthai Thani,366
Uttaradit,457
Yala Province,688
Yasothon,409
