Location name,Amount spent (CZK)
Central Bohemian Region,13805
Hradec Králové Region,6360
Karlovy Vary Region,3667
Liberec Region,5097
Moravian-Silesian Region,11784
Olomouc Region,6450
Pardubice Region,5484
Plzeň Region,7012
Prague,26460
South Bohemian Region,7536
South Moravian Region,14740
Unknown,≤100
Vysočina Region,4411
Zlín Region,6321
Ústí nad Labem Region,9230
