Location name,Amount spent (CZK)
Central Bohemian Region,50610
Hradec Králové Region,22949
Karlovy Vary Region,12157
Liberec Region,19910
Moravian-Silesian Region,45841
Olomouc Region,23837
Pardubice Region,19673
Plzeň Region,23786
Prague,82845
South Bohemian Region,25820
South Moravian Region,56641
Unknown,≤100
Vysočina Region,18565
Zlín Region,21447
Ústí nad Labem Region,34274
