Location name,Amount spent (VND)
An Giang Province,2338
Bà Rịa–Vũng Tàu Province,4186
Bình Dương Province,10540
Bình Phước Province,3212
Bình Thuận Province,5631
Bình Định Province,3955
Bạc Liêu Province,1052
Bắc Giang Province,2076
Bắc Kạn Province,4997
Bắc Ninh Province,27082
Bến Tre Province,2190
Cao Bằng Province,642
Cà Mau Province,12560
Cần Thơ,2480
Da Nang,21132
Gia Lai Province,7872
Haiphong,55623
Ho Chi Minh City,163841
Hà Giang Province,540
Hà Nam Province,3314
Hà Tĩnh Province,7325
Hòa Bình Province,1781
Hưng Yên Province,1710
Hải Dương Province,4378
Hậu Giang Province,458
Khánh Hòa Province,6236
Kiên Giang Province,2478
Kon Tum Province,3211
Lai Châu Province,461
Long An Province,2460
Lào Cai Province,5415
Lâm Đồng Province,28775
Lạng Sơn Province,1394
Nam Định Province,9160
Nghệ An Province,48013
Ninh Bình Province,1629
Ninh Thuận Province,1136
Phú Thọ Province,2992
Phú Yên Province,2817
Quảng Bình Province,3055
Quảng Nam Province,7447
Quảng Ngãi Province,2882
Quảng Ninh Province,27421
Quảng Trị Province,3252
Sóc Trăng Province,1468
Sơn La Province,3083
Thanh Hóa Province,9629
Thái Bình Province,3247
Thái Nguyên Province,3338
Thừa Thiên–Huế Province,5726
Tiền Giang Province,6563
Trà Vinh Province,1481
Tuyên Quang Province,2302
Tây Ninh Province,2672
Vĩnh Long Province,2564
Vĩnh Phúc Province,28455
Yên Bái Province,1607
Điện Biên Province,1735
Đắk Lắk Province,5777
Đắk Nông Province,1266
Đồng Nai Province,20426
Đồng Tháp Province,2136
