Location name,Amount spent (INR)
Andaman and Nicobar Islands,222
Andhra Pradesh,28381
Arunachal Pradesh,1203
Assam,20547
Bihar,79429
Chandigarh,2438
Chhattisgarh,19279
Dadra and Nagar Haveli,1633
Delhi,70460
Goa,3366
Gujarat,63382
Haryana,50895
Himachal Pradesh,12831
Jammu and Kashmir,11194
Jharkhand,22024
Karnataka,141102
Kerala,27766
Lakshadweep,≤100
Madhya Pradesh,60500
Maharashtra,220179
Manipur,2351
Meghalaya,62748
Mizoram,1092
Nagaland,965
Odisha,16965
Puducherry,2676
Punjab region,45535
Rajasthan,102076
Sikkim,2051
Tamil Nadu,65921
Telangana,43361
Tripura,8141
Unknown,≤100
Uttar Pradesh,158869
Uttarakhand,16175
West Bengal,84947
