Location name,Amount spent (CLP)
Antofagasta Region,93936
Araucanía Region,113689
Arica y Parinacota Region,54681
Atacama Region,24588
Aysén Region,14084
Bío Bío Region,177296
Coquimbo Region,114885
Los Lagos Region,123533
Los Ríos Region,35473
Magallanes y la Antártica Chilena Region,33921
Maule Region,101035
O'Higgins Region,109894
Santiago Metropolitan Region,851042
Tarapacá Region,35294
Unknown,≤100
Valparaíso Region,156509
