Location name,Amount spent (CLP)
Antofagasta Region,100415
Araucanía Region,147516
Arica y Parinacota Region,46432
Atacama Region,48086
Aysén Region,33358
Bío Bío Region,365058
Coquimbo Region,157005
Los Lagos Region,235489
Los Ríos Region,61840
Magallanes y la Antártica Chilena Region,49205
Maule Region,159999
O'Higgins Region,122334
Santiago Metropolitan Region,1279630
Tarapacá Region,57568
Unknown,360
Valparaíso Region,299593
