Location name,Amount spent (NZD)
Auckland Region,4174
Bay of Plenty Region,683
Canterbury,1277
Gisborne District,≤100
Hawke's Bay,351
Manawatu-Wanganui,492
Marlborough Region,≤100
Nelson Province,138
Northland Region,421
Otago,511
Southland,179
Taranaki,298
Tasman District,≤100
Unknown,≤100
Waikato,918
Wellington Region,1047
West Coast,≤100
