Location name,Amount spent (IDR)
Aceh,1881815
Bali,2252461
Bangka–Belitung Islands,304680
Banten,2232600
Bengkulu,552803
Central Java,10157953
Central Kalimantan,558385
Central Sulawesi,1437569
East Java,8650054
East Kalimantan,1027732
East Nusa Tenggara,2322490
Gorontalo,1317792
Jakarta,6238568
Jambi,670496
Lampung,2334138
Maluku,328984
North Kalimantan,151994
North Maluku,282863
North Sulawesi,1637193
North Sumatra,5492073
Papua (province),925309
Riau,2246085
Riau Islands Province,659966
South Kalimantan,1370239
South Sulawesi,1914099
South Sumatra,2437147
Southeast Sulawesi,1308945
Special Region of Yogyakarta,1379219
Unknown,4751
West Java,10104518
West Kalimantan,1958308
West Nusa Tenggara,2125167
West Papua,288289
West Sulawesi,242567
West Sumatra,1709558
